id,ami_launch_index,architecture,block_device_mappings,client_token,ebs_optimized,hypervisor,iam_instance_profile,image_id,instance_id,instance_lifecycle,instance_type,kernel_id,key_name,launch_time,monitoring,network_interfaces_attribute,placement,platform,private_dns_name,private_ip_address,product_codes,public_dns_name,public_ip_address,ramdisk_id,root_device_name,root_device_type,security_groups,source_dest_check,spot_instance_request_id,sriov_net_support,state,state_reason,state_transition_reason,subnet_id,tags,virtualization_type,vpc_id
i-72b915b1,1,x86_64,"[{u'DeviceName': '/dev/sda1', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': True, u'VolumeId': 'vol-5d5e1ff2', u'AttachTime': datetime.datetime(2016, 2, 29, 2, 33, 54, tzinfo=tzutc())}}, {u'DeviceName': '/dev/sdb', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': True, u'VolumeId': 'vol-295e1f86', u'AttachTime': datetime.datetime(2016, 2, 29, 2, 33, 54, tzinfo=tzutc())}}]",KBahx1456713232979,True,xen,,ami-8d668cc9,i-72b915b1,,c4.xlarge,,easemob,2016-02-29 02:33:53+00:00,{u'State': 'disabled'},"[{u'Status': 'in-use', u'MacAddress': '02:a0:7f:14:ce:6d', u'SourceDestCheck': True, u'VpcId': 'vpc-8b49b3ee', u'Description': '', u'Association': {u'PublicIp': '52.9.143.0', u'PublicDnsName': 'ec2-52-9-143-0.us-west-1.compute.amazonaws.com', u'IpOwnerId': '986090843226'}, u'NetworkInterfaceId': 'eni-21fbbc46', u'PrivateIpAddresses': [{u'PrivateDnsName': 'ip-172-31-24-223.us-west-1.compute.internal', u'Association': {u'PublicIp': '52.9.143.0', u'PublicDnsName': 'ec2-52-9-143-0.us-west-1.compute.amazonaws.com', u'IpOwnerId': '986090843226'}, u'Primary': True, u'PrivateIpAddress': '172.31.24.223'}], u'PrivateDnsName': 'ip-172-31-24-223.us-west-1.compute.internal', u'Attachment': {u'Status': 'attached', u'DeviceIndex': 0, u'DeleteOnTermination': True, u'AttachmentId': 'eni-attach-1f1e26d7', u'AttachTime': datetime.datetime(2016, 2, 29, 2, 33, 53, tzinfo=tzutc())}, u'Groups': [{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}], u'SubnetId': 'subnet-330ad756', u'OwnerId': '986090843226', u'PrivateIpAddress': '172.31.24.223'}]","{u'Tenancy': 'default', u'GroupName': '', u'AvailabilityZone': 'us-west-1a'}",,ip-172-31-24-223.us-west-1.compute.internal,172.31.24.223,[],ec2-52-9-143-0.us-west-1.compute.amazonaws.com,52.9.143.0,,/dev/sda1,ebs,"[{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}]",True,,,"{u'Code': 16, u'Name': 'running'}",,,subnet-330ad756,"[{u'Value': 'pro4-aws-ca-codis-proxygm1', u'Key': 'Name'}]",hvm,vpc-8b49b3ee
i-7db915be,0,x86_64,"[{u'DeviceName': '/dev/sda1', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': True, u'VolumeId': 'vol-6d5e1fc2', u'AttachTime': datetime.datetime(2016, 2, 29, 2, 33, 54, tzinfo=tzutc())}}, {u'DeviceName': '/dev/sdb', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': True, u'VolumeId': 'vol-385e1f97', u'AttachTime': datetime.datetime(2016, 2, 29, 2, 33, 54, tzinfo=tzutc())}}]",KBahx1456713232979,True,xen,,ami-8d668cc9,i-7db915be,,c4.xlarge,,easemob,2016-02-29 02:33:53+00:00,{u'State': 'disabled'},"[{u'Status': 'in-use', u'MacAddress': '02:84:6b:34:10:15', u'SourceDestCheck': True, u'VpcId': 'vpc-8b49b3ee', u'Description': '', u'NetworkInterfaceId': 'eni-20fbbc47', u'PrivateIpAddresses': [{u'PrivateDnsName': 'ip-172-31-24-222.us-west-1.compute.internal', u'Primary': True, u'PrivateIpAddress': '172.31.24.222'}], u'PrivateDnsName': 'ip-172-31-24-222.us-west-1.compute.internal', u'Attachment': {u'Status': 'attached', u'DeviceIndex': 0, u'DeleteOnTermination': True, u'AttachmentId': 'eni-attach-1c1e26d4', u'AttachTime': datetime.datetime(2016, 2, 29, 2, 33, 53, tzinfo=tzutc())}, u'Groups': [{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}], u'SubnetId': 'subnet-330ad756', u'OwnerId': '986090843226', u'PrivateIpAddress': '172.31.24.222'}]","{u'Tenancy': 'default', u'GroupName': '', u'AvailabilityZone': 'us-west-1a'}",,ip-172-31-24-222.us-west-1.compute.internal,172.31.24.222,[],,,,/dev/sda1,ebs,"[{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}]",True,,,"{u'Code': 16, u'Name': 'running'}",,,subnet-330ad756,"[{u'Value': 'pro4-aws-ca-codis-proxygm2', u'Key': 'Name'}]",hvm,vpc-8b49b3ee
i-c9018302,16,x86_64,"[{u'DeviceName': '/dev/sda1', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': True, u'VolumeId': 'vol-ae288f4b', u'AttachTime': datetime.datetime(2015, 6, 10, 9, 44, tzinfo=tzutc())}}, {u'DeviceName': '/dev/xvdb', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': False, u'VolumeId': 'vol-ed502e08', u'AttachTime': datetime.datetime(2016, 3, 3, 21, 6, 22, tzinfo=tzutc())}}]",rmBnv1433929435513,False,xen,,ami-8d668cc9,i-c9018302,,m3.xlarge,,dennis@easemob.com,2016-04-03 23:34:27+00:00,{u'State': 'disabled'},"[{u'Status': 'in-use', u'MacAddress': '02:6d:f3:4e:e7:ad', u'SourceDestCheck': True, u'VpcId': 'vpc-8b49b3ee', u'Description': 'Primary network interface', u'NetworkInterfaceId': 'eni-fd5e9299', u'PrivateIpAddresses': [{u'PrivateDnsName': 'ip-172-31-16-47.us-west-1.compute.internal', u'Primary': True, u'PrivateIpAddress': '172.31.16.47'}], u'PrivateDnsName': 'ip-172-31-16-47.us-west-1.compute.internal', u'Attachment': {u'Status': 'attached', u'DeviceIndex': 0, u'DeleteOnTermination': True, u'AttachmentId': 'eni-attach-9348ccce', u'AttachTime': datetime.datetime(2015, 6, 10, 9, 43, 56, tzinfo=tzutc())}, u'Groups': [{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}], u'SubnetId': 'subnet-330ad756', u'OwnerId': '986090843226', u'PrivateIpAddress': '172.31.16.47'}]","{u'Tenancy': 'default', u'GroupName': '', u'AvailabilityZone': 'us-west-1a'}",,ip-172-31-16-47.us-west-1.compute.internal,172.31.16.47,[],,,,/dev/sda1,ebs,"[{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}]",True,,,"{u'Code': 80, u'Name': 'stopped'}","{u'Message': 'Server.InternalError: Internal error on launch', u'Code': 'Server.InternalError'}",Server.InternalError,subnet-330ad756,"[{u'Value': 'pro4-aws-ca-app1', u'Key': 'Name'}]",hvm,vpc-8b49b3ee
i-c8018303,15,x86_64,"[{u'DeviceName': '/dev/sda1', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': True, u'VolumeId': 'vol-59288fbc', u'AttachTime': datetime.datetime(2015, 6, 10, 9, 44, tzinfo=tzutc())}}, {u'DeviceName': '/dev/xvdb', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': False, u'VolumeId': 'vol-fe0e4151', u'AttachTime': datetime.datetime(2016, 3, 3, 21, 35, 35, tzinfo=tzutc())}}]",rmBnv1433929435513,True,xen,,ami-8d668cc9,i-c8018303,,m4.xlarge,,dennis@easemob.com,2016-04-03 23:34:52+00:00,{u'State': 'disabled'},"[{u'Status': 'in-use', u'MacAddress': '02:e3:d7:c2:7e:4b', u'SourceDestCheck': True, u'VpcId': 'vpc-8b49b3ee', u'Description': 'Primary network interface', u'Association': {u'PublicIp': '54.183.175.92', u'PublicDnsName': 'ec2-54-183-175-92.us-west-1.compute.amazonaws.com', u'IpOwnerId': 'amazon'}, u'NetworkInterfaceId': 'eni-ff5e929b', u'PrivateIpAddresses': [{u'PrivateDnsName': 'ip-172-31-16-46.us-west-1.compute.internal', u'Association': {u'PublicIp': '54.183.175.92', u'PublicDnsName': 'ec2-54-183-175-92.us-west-1.compute.amazonaws.com', u'IpOwnerId': 'amazon'}, u'Primary': True, u'PrivateIpAddress': '172.31.16.46'}], u'PrivateDnsName': 'ip-172-31-16-46.us-west-1.compute.internal', u'Attachment': {u'Status': 'attached', u'DeviceIndex': 0, u'DeleteOnTermination': True, u'AttachmentId': 'eni-attach-9048cccd', u'AttachTime': datetime.datetime(2015, 6, 10, 9, 43, 56, tzinfo=tzutc())}, u'Groups': [{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}], u'SubnetId': 'subnet-330ad756', u'OwnerId': '986090843226', u'PrivateIpAddress': '172.31.16.46'}]","{u'Tenancy': 'default', u'GroupName': '', u'AvailabilityZone': 'us-west-1a'}",,ip-172-31-16-46.us-west-1.compute.internal,172.31.16.46,[],ec2-54-183-175-92.us-west-1.compute.amazonaws.com,54.183.175.92,,/dev/sda1,ebs,"[{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}]",True,,,"{u'Code': 16, u'Name': 'running'}",,,subnet-330ad756,"[{u'Value': 'pro4-aws-ca-app2', u'Key': 'Name'}]",hvm,vpc-8b49b3ee
i-cf018304,18,x86_64,"[{u'DeviceName': '/dev/sda1', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': True, u'VolumeId': 'vol-96288f73', u'AttachTime': datetime.datetime(2015, 6, 10, 9, 44, tzinfo=tzutc())}}]",rmBnv1433929435513,False,xen,,ami-8d668cc9,i-cf018304,,m3.large,,dennis@easemob.com,2016-04-03 23:35:02+00:00,{u'State': 'disabled'},"[{u'Status': 'in-use', u'MacAddress': '02:ba:d4:2b:d0:fd', u'SourceDestCheck': True, u'VpcId': 'vpc-8b49b3ee', u'Description': 'Primary network interface', u'Association': {u'PublicIp': '52.53.252.216', u'PublicDnsName': 'ec2-52-53-252-216.us-west-1.compute.amazonaws.com', u'IpOwnerId': 'amazon'}, u'NetworkInterfaceId': 'eni-fa5e929e', u'PrivateIpAddresses': [{u'PrivateDnsName': 'ip-172-31-16-30.us-west-1.compute.internal', u'Association': {u'PublicIp': '52.53.252.216', u'PublicDnsName': 'ec2-52-53-252-216.us-west-1.compute.amazonaws.com', u'IpOwnerId': 'amazon'}, u'Primary': True, u'PrivateIpAddress': '172.31.16.30'}], u'PrivateDnsName': 'ip-172-31-16-30.us-west-1.compute.internal', u'Attachment': {u'Status': 'attached', u'DeviceIndex': 0, u'DeleteOnTermination': True, u'AttachmentId': 'eni-attach-8a48ccd7', u'AttachTime': datetime.datetime(2015, 6, 10, 9, 43, 56, tzinfo=tzutc())}, u'Groups': [{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}], u'SubnetId': 'subnet-330ad756', u'OwnerId': '986090843226', u'PrivateIpAddress': '172.31.16.30'}]","{u'Tenancy': 'default', u'GroupName': '', u'AvailabilityZone': 'us-west-1a'}",,ip-172-31-16-30.us-west-1.compute.internal,172.31.16.30,[],ec2-52-53-252-216.us-west-1.compute.amazonaws.com,52.53.252.216,,/dev/sda1,ebs,"[{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}]",True,,,"{u'Code': 16, u'Name': 'running'}",,,subnet-330ad756,"[{u'Value': 'pro4-aws-ca-app3', u'Key': 'Name'}]",hvm,vpc-8b49b3ee
i-ce018305,17,x86_64,"[{u'DeviceName': '/dev/sda1', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': True, u'VolumeId': 'vol-6c288f89', u'AttachTime': datetime.datetime(2015, 6, 10, 9, 44, tzinfo=tzutc())}}]",rmBnv1433929435513,False,xen,,ami-8d668cc9,i-ce018305,,m3.large,,dennis@easemob.com,2016-04-08 02:20:44+00:00,{u'State': 'disabled'},"[{u'Status': 'in-use', u'MacAddress': '02:ee:38:e6:79:dd', u'SourceDestCheck': True, u'VpcId': 'vpc-8b49b3ee', u'Description': 'Primary network interface', u'Association': {u'PublicIp': '54.183.80.192', u'PublicDnsName': 'ec2-54-183-80-192.us-west-1.compute.amazonaws.com', u'IpOwnerId': 'amazon'}, u'NetworkInterfaceId': 'eni-ea5e928e', u'PrivateIpAddresses': [{u'PrivateDnsName': 'ip-172-31-16-31.us-west-1.compute.internal', u'Association': {u'PublicIp': '54.183.80.192', u'PublicDnsName': 'ec2-54-183-80-192.us-west-1.compute.amazonaws.com', u'IpOwnerId': 'amazon'}, u'Primary': True, u'PrivateIpAddress': '172.31.16.31'}], u'PrivateDnsName': 'ip-172-31-16-31.us-west-1.compute.internal', u'Attachment': {u'Status': 'attached', u'DeviceIndex': 0, u'DeleteOnTermination': True, u'AttachmentId': 'eni-attach-9248cccf', u'AttachTime': datetime.datetime(2015, 6, 10, 9, 43, 56, tzinfo=tzutc())}, u'Groups': [{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}], u'SubnetId': 'subnet-330ad756', u'OwnerId': '986090843226', u'PrivateIpAddress': '172.31.16.31'}]","{u'Tenancy': 'default', u'GroupName': '', u'AvailabilityZone': 'us-west-1a'}",,ip-172-31-16-31.us-west-1.compute.internal,172.31.16.31,[],ec2-54-183-80-192.us-west-1.compute.amazonaws.com,54.183.80.192,,/dev/sda1,ebs,"[{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}]",True,,,"{u'Code': 16, u'Name': 'running'}",,,subnet-330ad756,"[{u'Value': 'pro4-aws-ca-app4', u'Key': 'Name'}]",hvm,vpc-8b49b3ee
i-d601831d,10,x86_64,"[{u'DeviceName': '/dev/sda1', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': True, u'VolumeId': 'vol-4e288fab', u'AttachTime': datetime.datetime(2015, 6, 10, 9, 44, tzinfo=tzutc())}}, {u'DeviceName': '/dev/sdf', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': False, u'VolumeId': 'vol-c883d767', u'AttachTime': datetime.datetime(2016, 3, 9, 18, 21, 57, tzinfo=tzutc())}}]",rmBnv1433929435513,False,xen,,ami-8d668cc9,i-d601831d,,m3.large,,dennis@easemob.com,2015-06-10 09:43:56+00:00,{u'State': 'disabled'},"[{u'Status': 'in-use', u'MacAddress': '02:14:e9:36:c4:0d', u'SourceDestCheck': True, u'VpcId': 'vpc-8b49b3ee', u'Description': 'Primary network interface', u'Association': {u'PublicIp': '52.8.154.238', u'PublicDnsName': 'ec2-52-8-154-238.us-west-1.compute.amazonaws.com', u'IpOwnerId': 'amazon'}, u'NetworkInterfaceId': 'eni-f45e9290', u'PrivateIpAddresses': [{u'PrivateDnsName': 'ip-172-31-16-41.us-west-1.compute.internal', u'Association': {u'PublicIp': '52.8.154.238', u'PublicDnsName': 'ec2-52-8-154-238.us-west-1.compute.amazonaws.com', u'IpOwnerId': 'amazon'}, u'Primary': True, u'PrivateIpAddress': '172.31.16.41'}], u'PrivateDnsName': 'ip-172-31-16-41.us-west-1.compute.internal', u'Attachment': {u'Status': 'attached', u'DeviceIndex': 0, u'DeleteOnTermination': True, u'AttachmentId': 'eni-attach-cf48cc92', u'AttachTime': datetime.datetime(2015, 6, 10, 9, 43, 56, tzinfo=tzutc())}, u'Groups': [{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}], u'SubnetId': 'subnet-330ad756', u'OwnerId': '986090843226', u'PrivateIpAddress': '172.31.16.41'}]","{u'Tenancy': 'default', u'GroupName': '', u'AvailabilityZone': 'us-west-1a'}",,ip-172-31-16-41.us-west-1.compute.internal,172.31.16.41,[],ec2-52-8-154-238.us-west-1.compute.amazonaws.com,52.8.154.238,,/dev/sda1,ebs,"[{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}]",True,,,"{u'Code': 16, u'Name': 'running'}",,,subnet-330ad756,"[{u'Value': 'pro4-aws-ca-zk1', u'Key': 'Name'}]",hvm,vpc-8b49b3ee
i-d501831e,11,x86_64,"[{u'DeviceName': '/dev/sda1', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': True, u'VolumeId': 'vol-77288f92', u'AttachTime': datetime.datetime(2015, 6, 10, 9, 44, tzinfo=tzutc())}}, {u'DeviceName': '/dev/sdf', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': False, u'VolumeId': 'vol-e780d448', u'AttachTime': datetime.datetime(2016, 3, 9, 18, 7, 45, tzinfo=tzutc())}}]",rmBnv1433929435513,False,xen,,ami-8d668cc9,i-d501831e,,m3.large,,dennis@easemob.com,2015-06-10 09:43:56+00:00,{u'State': 'disabled'},"[{u'Status': 'in-use', u'MacAddress': '02:92:7b:ec:ea:2f', u'SourceDestCheck': True, u'VpcId': 'vpc-8b49b3ee', u'Description': 'Primary network interface', u'Association': {u'PublicIp': '52.8.203.148', u'PublicDnsName': 'ec2-52-8-203-148.us-west-1.compute.amazonaws.com', u'IpOwnerId': 'amazon'}, u'NetworkInterfaceId': 'eni-fc5e9298', u'PrivateIpAddresses': [{u'PrivateDnsName': 'ip-172-31-16-43.us-west-1.compute.internal', u'Association': {u'PublicIp': '52.8.203.148', u'PublicDnsName': 'ec2-52-8-203-148.us-west-1.compute.amazonaws.com', u'IpOwnerId': 'amazon'}, u'Primary': True, u'PrivateIpAddress': '172.31.16.43'}], u'PrivateDnsName': 'ip-172-31-16-43.us-west-1.compute.internal', u'Attachment': {u'Status': 'attached', u'DeviceIndex': 0, u'DeleteOnTermination': True, u'AttachmentId': 'eni-attach-c848cc95', u'AttachTime': datetime.datetime(2015, 6, 10, 9, 43, 56, tzinfo=tzutc())}, u'Groups': [{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}], u'SubnetId': 'subnet-330ad756', u'OwnerId': '986090843226', u'PrivateIpAddress': '172.31.16.43'}]","{u'Tenancy': 'default', u'GroupName': '', u'AvailabilityZone': 'us-west-1a'}",,ip-172-31-16-43.us-west-1.compute.internal,172.31.16.43,[],ec2-52-8-203-148.us-west-1.compute.amazonaws.com,52.8.203.148,,/dev/sda1,ebs,"[{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}]",True,,,"{u'Code': 16, u'Name': 'running'}",,,subnet-330ad756,"[{u'Value': 'pro4-aws-ca-zk2', u'Key': 'Name'}]",hvm,vpc-8b49b3ee
i-d401831f,12,x86_64,"[{u'DeviceName': '/dev/sda1', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': True, u'VolumeId': 'vol-49288fac', u'AttachTime': datetime.datetime(2015, 6, 10, 9, 44, tzinfo=tzutc())}}, {u'DeviceName': '/dev/sdf', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': False, u'VolumeId': 'vol-e08cd84f', u'AttachTime': datetime.datetime(2016, 3, 9, 18, 23, 35, tzinfo=tzutc())}}]",rmBnv1433929435513,False,xen,,ami-8d668cc9,i-d401831f,,m3.large,,dennis@easemob.com,2015-06-10 09:43:56+00:00,{u'State': 'disabled'},"[{u'Status': 'in-use', u'MacAddress': '02:52:89:68:6b:31', u'SourceDestCheck': True, u'VpcId': 'vpc-8b49b3ee', u'Description': 'Primary network interface', u'Association': {u'PublicIp': '52.8.155.4', u'PublicDnsName': 'ec2-52-8-155-4.us-west-1.compute.amazonaws.com', u'IpOwnerId': 'amazon'}, u'NetworkInterfaceId': 'eni-f75e9293', u'PrivateIpAddresses': [{u'PrivateDnsName': 'ip-172-31-16-44.us-west-1.compute.internal', u'Association': {u'PublicIp': '52.8.155.4', u'PublicDnsName': 'ec2-52-8-155-4.us-west-1.compute.amazonaws.com', u'IpOwnerId': 'amazon'}, u'Primary': True, u'PrivateIpAddress': '172.31.16.44'}], u'PrivateDnsName': 'ip-172-31-16-44.us-west-1.compute.internal', u'Attachment': {u'Status': 'attached', u'DeviceIndex': 0, u'DeleteOnTermination': True, u'AttachmentId': 'eni-attach-c948cc94', u'AttachTime': datetime.datetime(2015, 6, 10, 9, 43, 56, tzinfo=tzutc())}, u'Groups': [{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}], u'SubnetId': 'subnet-330ad756', u'OwnerId': '986090843226', u'PrivateIpAddress': '172.31.16.44'}]","{u'Tenancy': 'default', u'GroupName': '', u'AvailabilityZone': 'us-west-1a'}",,ip-172-31-16-44.us-west-1.compute.internal,172.31.16.44,[],ec2-52-8-155-4.us-west-1.compute.amazonaws.com,52.8.155.4,,/dev/sda1,ebs,"[{u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}]",True,,,"{u'Code': 16, u'Name': 'running'}",,,subnet-330ad756,"[{u'Value': 'pro4-aws-ca-zk3', u'Key': 'Name'}]",hvm,vpc-8b49b3ee
i-d944d019,0,x86_64,"[{u'DeviceName': '/dev/sda1', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': True, u'VolumeId': 'vol-8f4b356a', u'AttachTime': datetime.datetime(2015, 8, 27, 12, 17, 39, tzinfo=tzutc())}}, {u'DeviceName': '/dev/sdb', u'Ebs': {u'Status': 'attached', u'DeleteOnTermination': False, u'VolumeId': 'vol-9950297c', u'AttachTime': datetime.datetime(2015, 8, 28, 6, 33, 54, tzinfo=tzutc())}}]",iANuE1440677855872,False,xen,,ami-a540a5e1,i-d944d019,,c3.xlarge,,dennis@easemob.com,2015-08-28 06:35:00+00:00,{u'State': 'disabled'},"[{u'Status': 'in-use', u'MacAddress': '02:e0:71:70:33:e1', u'SourceDestCheck': True, u'VpcId': 'vpc-8b49b3ee', u'Description': 'Primary network interface', u'Association': {u'PublicIp': '52.8.119.18', u'PublicDnsName': 'ec2-52-8-119-18.us-west-1.compute.amazonaws.com', u'IpOwnerId': '986090843226'}, u'NetworkInterfaceId': 'eni-c05e33a4', u'PrivateIpAddresses': [{u'PrivateDnsName': 'ip-172-31-30-184.us-west-1.compute.internal', u'Association': {u'PublicIp': '52.8.119.18', u'PublicDnsName': 'ec2-52-8-119-18.us-west-1.compute.amazonaws.com', u'IpOwnerId': '986090843226'}, u'Primary': True, u'PrivateIpAddress': '172.31.30.184'}], u'PrivateDnsName': 'ip-172-31-30-184.us-west-1.compute.internal', u'Attachment': {u'Status': 'attached', u'DeviceIndex': 0, u'DeleteOnTermination': True, u'AttachmentId': 'eni-attach-9feaabc2', u'AttachTime': datetime.datetime(2015, 8, 27, 12, 17, 36, tzinfo=tzutc())}, u'Groups': [{u'GroupName': 'default', u'GroupId': 'sg-a6de06c3'}, {u'GroupName': 'haproxy', u'GroupId': 'sg-78a8721d'}, {u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}], u'SubnetId': 'subnet-330ad756', u'OwnerId': '986090843226', u'PrivateIpAddress': '172.31.30.184'}]","{u'Tenancy': 'default', u'GroupName': '', u'AvailabilityZone': 'us-west-1a'}",,ip-172-31-30-184.us-west-1.compute.internal,172.31.30.184,[],ec2-52-8-119-18.us-west-1.compute.amazonaws.com,52.8.119.18,,/dev/sda1,ebs,"[{u'GroupName': 'default', u'GroupId': 'sg-a6de06c3'}, {u'GroupName': 'haproxy', u'GroupId': 'sg-78a8721d'}, {u'GroupName': 'fw-easemob', u'GroupId': 'sg-a8df07cd'}]",True,,,"{u'Code': 16, u'Name': 'running'}",,,subnet-330ad756,"[{u'Value': 'pro4-aws-ca-mserver', u'Key': 'Name'}]",hvm,vpc-8b49b3ee
